aa,Country,Location,Name,Number,Image,bb
Australia,Melbourne,Albert Park Grand Prix Circuit,24,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Melbourne_Grand_Prix_Circuit%2C_March_22%2C_2018_SkySat_%28cropped%29.jpg/1200px-Melbourne_Grand_Prix_Circuit%2C_March_22%2C_2018_SkySat_%28cropped%29.jpg"
Malaysia,Kuala Lumpur,Sepang International Circuit,19,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Sepang-international-circuit.JPG/1200px-Sepang-international-circuit.JPG"
Bahrain,Sakhir,Bahrain International Circuit,18,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Bahrain_International_Circuit_back_straight.jpg/1200px-Bahrain_International_Circuit_back_straight.jpg"
Spain,Montmelo,Circuit de Barcelona-Catalunya,30,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Pit_Lane_Entrance%40circuitdeCatalunya.jpg/1200px-Pit_Lane_Entrance%40circuitdeCatalunya.jpg"
Turkey,Istanbul,Istanbul Park,8,"https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Istanbul_Park_aerial.jpg/1200px-Istanbul_Park_aerial.jpg"
Monaco,Monte Carlo,Circuit de Monaco,66,"https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg/1200px-Circuit_de_Monaco%2C_April_1%2C_2018_SkySat_%28cropped%29.jpg"
Canada,Montreal,Circuit Gilles Villeneuve,40,"https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Circuit_Gilles-Villeneuve%2C_May_29%2C_2018_SkySat_%28cropped%29.jpg/1200px-Circuit_Gilles-Villeneuve%2C_May_29%2C_2018_SkySat_%28cropped%29.jpg" 
France,Magny Cours,Circuit de Nevers Magny-Cours,18,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Magnycourt1new.jpg/1200px-Magnycourt1new.jpg"
United Kingdom,Silverstone,Silverstone Circuit,55,"https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Silverstone_Circuit%2C_July_2%2C_2018_SkySat_%28cropped%29.jpg/1200px-Silverstone_Circuit%2C_July_2%2C_2018_SkySat_%28cropped%29.jpg"
Germany,Hockenheim,Hockenheimring,38,"https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Hockenheimring%2C_April_29%2C_2018_SkySat_%28crop%29.jpg/1200px-Hockenheimring%2C_April_29%2C_2018_SkySat_%28crop%29.jpg" 
Hungary,Budapest,Hungaroring,34,"https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Hungaroring_Exit.JPG/1200px-Hungaroring_Exit.JPG"
Spain,Valencia,Valencia Street Circuit,5,"https://upload.wikimedia.org/wikipedia/commons/f/ff/Swing-bridge_Valencia_Street_Circuit.jpg" 
